id,attendance,xgboost_prediction,fold
9376,13979,13988.23828125,8.0
9372,4873,7568.49462890625,1.0
9371,9457,12202.8544921875,6.0
9370,11433,11645.6494140625,5.0
9373,21041,22637.095703125,1.0
9379,22769,34429.0234375,8.0
9380,9299,12501.1416015625,6.0
9381,21382,20957.119140625,2.0
9382,13463,14209.9248046875,1.0
9383,11471,12463.5859375,8.0
9384,20463,19759.958984375,4.0
9385,26841,19623.443359375,3.0
9386,9142,13835.9521484375,7.0
9387,35059,28589.12890625,3.0
9392,9308,10849.12890625,7.0
9394,12519,13344.9521484375,5.0
9391,39123,41751.8359375,5.0
9393,19036,17816.09375,8.0
9389,25384,21020.365234375,4.0
9390,20800,22911.216796875,3.0
9388,8440,9725.3251953125,2.0
9395,15482,13567.8935546875,8.0
9396,10150,10012.205078125,10.0
9402,10857,13219.8095703125,3.0
9401,10265,11814.0029296875,10.0
9400,11218,11997.1455078125,1.0
9403,17544,19239.7734375,2.0
9398,21665,23916.560546875,3.0
9397,48378,45851.71875,9.0
9399,12654,12478.126953125,5.0
9404,17398,15930.982421875,2.0
9405,40422,33500.578125,3.0
9406,24136,22416.240234375,3.0
9407,12029,14701.0419921875,4.0
9408,25435,25482.052734375,8.0
9409,16492,16507.703125,3.0
9410,10609,12502.4501953125,1.0
9411,8223,6931.60986328125,8.0
9412,15186,20255.962890625,2.0
9413,15462,11957.1533203125,6.0
9414,10807,10399.3408203125,6.0
9415,5237,7940.7666015625,1.0
9416,48952,45356.640625,2.0
9417,10282,15432.0849609375,7.0
9418,10222,9623.1826171875,6.0
9419,35603,31521.072265625,3.0
9420,21066,26734.447265625,10.0
9421,10840,11164.3359375,3.0
9422,7013,10341.6015625,3.0
9423,12181,11504.7861328125,6.0
9430,12843,16021.2529296875,3.0
9429,16281,15259.431640625,9.0
9428,9888,11899.921875,3.0
9427,11490,10395.0859375,1.0
9426,36272,28816.755859375,10.0
9425,14383,13276.900390625,10.0
9424,15315,18051.521484375,10.0
9431,17541,21193.755859375,10.0
9432,11689,12748.8154296875,5.0
9433,50134,47331.3515625,10.0
9434,12863,12243.07421875,10.0
9435,24333,29503.501953125,8.0
9436,9747,11389.44921875,5.0
9437,13244,13274.2724609375,3.0
9438,8491,10365.4384765625,4.0
9439,16445,10858.943359375,1.0
9441,7897,10055.8173828125,9.0
9440,36161,27081.337890625,8.0
9442,10074,10005.126953125,6.0
9443,10505,15419.1103515625,2.0
9444,9852,12292.474609375,2.0
9445,38203,29823.78515625,2.0
9446,16162,16495.80859375,5.0
9447,18534,19666.947265625,1.0
9448,16162,15060.6591796875,3.0
9450,28690,20555.4609375,6.0
9449,19170,17787.556640625,5.0
9457,7873,8054.97705078125,10.0
9456,5566,7102.2099609375,9.0
9455,9079,10328.908203125,10.0
9451,14663,20451.130859375,8.0
9453,11286,8417.150390625,6.0
9452,52582,43184.9453125,3.0
9458,11505,11252.66796875,4.0
9454,23251,25290.849609375,5.0
9459,19273,18585.380859375,2.0
9465,32109,29577.224609375,9.0
9466,8182,9390.337890625,2.0
9463,9156,10496.037109375,3.0
9464,14406,11925.6962890625,1.0
9461,12871,15049.40625,7.0
9460,12094,24266.03515625,8.0
9462,20258,19708.291015625,9.0
9467,40393,33862.08203125,6.0
9468,16950,13024.8515625,1.0
9475,8737,14352.1328125,7.0
9477,15841,16351.9619140625,7.0
9476,20187,10774.9970703125,6.0
9474,13785,8788.419921875,1.0
9472,23553,25652.673828125,6.0
9471,12049,13877.5673828125,7.0
9470,57781,46054.8671875,10.0
9469,12178,14335.6513671875,1.0
9473,12172,18001.962890625,8.0
9483,37711,31835.6953125,1.0
9485,16768,18702.546875,2.0
9484,10707,13415.0283203125,10.0
9482,15069,12693.044921875,10.0
9486,11214,13530.2744140625,4.0
9480,17518,20572.376953125,10.0
9479,41528,36981.23828125,2.0
9478,9285,31252.001953125,5.0
9481,24895,22009.8359375,3.0
9493,9278,13166.6962890625,6.0
9492,9110,11261.259765625,10.0
9495,20854,19560.318359375,8.0
9491,13581,18099.40625,5.0
9494,14703,11610.1865234375,2.0
9489,17175,13762.2900390625,9.0
9487,16433,18872.48828125,4.0
9490,33993,29278.673828125,6.0
9488,62241,56887.88671875,10.0
9985,25257,30818.55859375,10.0
9986,24466,32762.5703125,9.0
9987,20039,21927.041015625,2.0
9988,20295,22494.4609375,1.0
9989,18333,17132.775390625,1.0
9990,57188,50852.3203125,6.0
9991,18355,14532.4111328125,4.0
9992,10960,10562.2841796875,5.0
9993,18410,14946.9892578125,9.0
9999,13737,13571.2734375,8.0
9998,15373,10084.3701171875,4.0
9997,17023,25020.630859375,3.0
9994,11791,13088.0078125,3.0
9995,12891,12681.322265625,5.0
9996,11452,12011.630859375,9.0
10000,18406,25405.94921875,1.0
10001,40524,39472.36328125,6.0
10002,14664,13095.4140625,4.0
10008,18621,22291.986328125,5.0
10009,14123,17335.291015625,4.0
10007,16657,19673.109375,1.0
10006,14814,15690.2119140625,4.0
10005,11460,13233.53125,10.0
10004,39494,37166.9296875,3.0
10003,16870,12851.4619140625,2.0
10010,11620,12048.3720703125,7.0
10011,27046,21453.248046875,6.0
10012,13064,10475.9951171875,2.0
10013,31500,26481.404296875,3.0
10014,12379,10806.8076171875,7.0
10015,7737,6851.41015625,5.0
10016,9337,12370.603515625,3.0
10017,10793,10434.298828125,2.0
10018,10518,11862.5810546875,2.0
10020,27163,23319.638671875,9.0
10019,10225,9753.7099609375,5.0
10021,8373,9764.29296875,3.0
10022,21092,20471.732421875,5.0
10023,16825,17981.462890625,1.0
10024,18587,13794.1005859375,1.0
10025,10234,13000.4892578125,3.0
10026,18960,26183.021484375,7.0
10027,45025,36730.37890625,10.0
10028,15584,13891.9775390625,5.0
10029,13225,13033.16015625,7.0
10034,10983,11511.7548828125,6.0
10035,11864,12537.32421875,6.0
10033,32686,37245.1875,5.0
10031,19367,25426.076171875,10.0
10030,6584,6339.1826171875,8.0
10032,7181,9648.76953125,3.0
10036,35013,33194.97265625,1.0
10037,21208,14315.771484375,3.0
10038,17431,17224.146484375,8.0
10039,22168,21706.83984375,7.0
10040,50531,42449.34765625,2.0
10041,9481,10253.37890625,4.0
10042,10363,9678.0107421875,6.0
10043,11437,7626.251953125,3.0
10044,12738,14207.4248046875,8.0
10045,8326,11583.201171875,9.0
10047,14495,18240.384765625,2.0
10046,17219,22011.412109375,2.0
10048,15008,22340.779296875,7.0
10049,20806,21704.19921875,1.0
10050,6628,6083.056640625,5.0
10051,11077,9554.9169921875,2.0
10052,9213,11577.587890625,9.0
10053,41283,35925.6328125,6.0
10054,10131,11811.1884765625,10.0
10055,21804,18053.03125,1.0
10056,36146,26005.47265625,9.0
10064,33498,35722.69921875,9.0
10063,13220,13968.2421875,1.0
10065,20318,19237.912109375,6.0
10062,22236,19437.56640625,6.0
10059,13481,15321.5517578125,10.0
10060,30436,29212.580078125,4.0
10058,16279,14312.6103515625,7.0
10057,57440,52701.14453125,9.0
10061,14146,15022.05078125,8.0
10073,23142,27049.591796875,9.0
10072,14983,22141.857421875,10.0
10071,33162,35000.08203125,9.0
10070,13344,16800.271484375,5.0
10074,11969,13669.0234375,3.0
10068,39507,37013.76171875,1.0
10067,20224,17508.783203125,3.0
10066,4458,4899.0107421875,1.0
10069,18223,18998.02734375,10.0
10075,19074,28079.826171875,8.0
10076,13636,11720.6865234375,9.0
10077,12197,16057.013671875,2.0
10078,9374,7281.64453125,7.0
10079,13259,14842.017578125,10.0
10080,21821,23955.69140625,10.0
10081,12686,12748.7373046875,8.0
10082,7769,12133.91015625,1.0
10083,55258,46998.55078125,4.0
10089,10983,12085.244140625,6.0
10090,12422,13073.3359375,8.0
10088,9466,8242.267578125,1.0
10087,15371,20556.171875,8.0
10086,34347,30364.224609375,7.0
10085,38268,34393.03515625,7.0
10084,13765,16427.982421875,1.0
10091,12149,14140.5791015625,3.0
10092,25811,24413.76171875,10.0
10093,4935,6915.62451171875,7.0
10094,22679,18618.095703125,6.0
10095,9173,10895.85546875,9.0
10096,10081,11898.8330078125,8.0
10097,14405,15612.580078125,2.0
10098,10514,14527.2822265625,5.0
10101,11734,10026.7119140625,9.0
10100,14033,17050.064453125,6.0
10099,51829,44236.10546875,2.0
10102,12730,10637.9248046875,5.0
10103,19752,17916.2109375,9.0
10104,38667,35124.109375,7.0
10105,21804,20119.708984375,4.0
10106,23028,24999.587890625,8.0
10107,21190,24473.798828125,9.0
10108,11389,13803.3681640625,5.0
10109,15322,16457.533203125,1.0
10117,13605,24716.11328125,2.0
10116,16795,7223.23046875,7.0
10115,20473,16309.341796875,5.0
10114,10524,17042.171875,10.0
10111,13966,10480.791015625,2.0
10112,15244,18965.400390625,10.0
10113,15078,15242.609375,3.0
10118,13229,11203.51953125,3.0
10119,38439,37099.31640625,8.0
10128,15508,15831.470703125,3.0
10127,6037,13596.5419921875,6.0
10126,9416,11263.146484375,2.0
10124,36182,33308.96875,10.0
10125,9292,9020.90234375,8.0
10122,17264,16001.98046875,4.0
10121,10273,10553.759765625,2.0
10120,16709,16084.3720703125,3.0
10123,13956,12950.740234375,3.0
10134,15640,19504.876953125,6.0
10129,20300,20637.0625,5.0
10130,16614,18995.91015625,2.0
10131,15069,12217.71484375,9.0
10132,7232,6320.17041015625,6.0
10133,11298,11955.0810546875,5.0
10135,10362,14213.953125,8.0
10136,10051,9874.28125,3.0
10137,14317,20590.98828125,6.0
10138,10264,13942.3212890625,5.0
10139,43117,15405.25,6.0
10140,15712,18651.27734375,6.0
10141,10049,12586.8251953125,5.0
10142,11489,10871.51953125,5.0
10143,40858,39147.01953125,4.0
10144,17299,15443.5126953125,6.0
10145,35072,27761.26171875,9.0
10146,20315,20118.73046875,9.0
10110,38682,37296.42578125,9.0
10153,12624,12789.201171875,10.0
10152,18112,18568.62109375,6.0
10151,15047,14636.0087890625,4.0
10148,16070,18048.423828125,3.0
10149,20689,25412.375,7.0
10147,47359,45683.26171875,3.0
10150,53916,30504.302734375,4.0
10154,14316,14733.896484375,3.0
10155,12595,14609.4775390625,6.0
10162,14854,12228.44921875,6.0
10164,20391,16999.9140625,4.0
10163,20982,23417.591796875,4.0
10161,42015,34991.26953125,3.0
10160,5606,6558.1103515625,9.0
10159,18095,18849.67578125,9.0
10158,10636,6753.63818359375,2.0
10157,6440,9090.9169921875,1.0
10156,19600,16153.1845703125,1.0
10165,16718,13647.08984375,2.0
10166,25373,22519.1015625,1.0
10167,8426,11176.4892578125,8.0
10168,36756,33361.5703125,5.0
10169,19073,13611.041015625,1.0
10170,15703,15798.439453125,10.0
10171,10402,13324.2451171875,6.0
10173,9116,12979.185546875,2.0
10172,13889,13659.8232421875,8.0
10174,15957,16914.982421875,4.0
10175,46951,50019.33984375,7.0
10176,10801,12747.72265625,4.0
10177,19789,20362.80859375,6.0
10178,12757,13000.2041015625,5.0
10179,10804,10829.193359375,8.0
10180,17910,16524.330078125,10.0
10181,19007,27641.93359375,4.0
10182,39912,38042.2265625,1.0
10189,16152,16341.2294921875,2.0
10188,14167,12239.4609375,10.0
10191,7122,9342.5625,6.0
10187,9038,8880.8486328125,2.0
10190,20067,18698.41796875,1.0
10185,13185,13993.3154296875,4.0
10183,6149,7158.57568359375,5.0
10186,10828,8795.380859375,5.0
10184,10447,9123.4697265625,6.0
10192,14856,18588.986328125,9.0
10193,49810,45332.25,4.0
10194,23968,22054.80859375,3.0
10195,6341,7100.0087890625,4.0
10196,40488,34619.37109375,5.0
10197,33678,25885.01171875,8.0
10198,18425,17808.646484375,8.0
10199,23569,28443.689453125,3.0
10200,14830,18660.927734375,9.0
10207,22675,19729.978515625,10.0
10206,13949,13727.60546875,10.0
10205,18108,15473.689453125,7.0
10201,8432,9479.2998046875,1.0
10203,15535,14093.5771484375,10.0
10202,13272,13098.2421875,8.0
10204,13835,22074.091796875,2.0
10208,40574,33124.80859375,5.0
10209,19419,19149.193359375,9.0
10214,7793,14954.5771484375,7.0
10212,48166,36551.359375,4.0
10215,21371,17183.669921875,3.0
10213,11606,11157.5263671875,7.0
10210,14812,15916.8759765625,5.0
10211,8449,10259.416015625,6.0
10216,30363,23719.5390625,4.0
10217,15797,15374.82421875,6.0
10218,10648,12100.4423828125,10.0
10219,7553,7944.14697265625,1.0
10220,10752,11037.8955078125,6.0
10221,12923,20998.203125,6.0
10222,9097,12012.31640625,1.0
10223,12163,12812.66015625,4.0
10227,15346,12347.673828125,9.0
10226,47755,37877.27734375,9.0
10224,13492,15522.1748046875,8.0
10225,13438,12349.08984375,9.0
10228,10503,12141.517578125,7.0
10229,10640,13303.240234375,8.0
10230,21939,28079.287109375,5.0
10231,14037,9672.9306640625,6.0
10232,38507,37236.66015625,5.0
10233,14831,16029.98046875,2.0
10234,9363,14562.138671875,5.0
10235,18511,25243.337890625,7.0
10236,14208,20983.341796875,3.0
10243,14671,12175.876953125,9.0
10242,12318,11946.1318359375,8.0
10241,25961,26183.66796875,4.0
10240,25082,24457.025390625,3.0
10238,16756,20445.01171875,6.0
10239,14440,15403.900390625,4.0
10237,11038,9265.734375,5.0
10244,18025,17805.646484375,8.0
10245,16071,17141.349609375,7.0
10246,8036,14538.9658203125,2.0
10247,8947,7185.96533203125,5.0
10248,4114,5547.380859375,9.0
10249,9056,11483.140625,5.0
10250,34446,36722.83203125,4.0
10251,15898,15608.765625,5.0
10252,9680,12674.48046875,9.0
10254,30494,26812.513671875,7.0
10253,52314,44314.44921875,1.0
10260,11236,10529.318359375,7.0
10259,20044,18945.775390625,10.0
10258,17529,17344.232421875,1.0
10255,8990,12129.57421875,1.0
10256,21109,27407.0,2.0
10257,37851,31961.208984375,8.0
10261,16508,13451.4873046875,6.0
10262,11752,6734.0263671875,3.0
10263,23355,28995.69140625,1.0
10269,15151,9694.9443359375,6.0
10271,13555,13799.8984375,9.0
10270,13172,13884.4912109375,5.0
10272,27811,18691.962890625,2.0
10267,30157,30103.51953125,4.0
10266,15678,15317.1748046875,7.0
10265,56368,60973.1328125,4.0
10264,18887,20490.59375,4.0
10268,7751,21793.986328125,9.0
10280,20109,20383.359375,5.0
10279,16370,14802.5224609375,1.0
10278,18577,17242.099609375,10.0
10277,24956,28718.25390625,8.0
10281,23381,20841.9453125,2.0
10275,20749,28240.693359375,5.0
10274,11021,11369.0869140625,9.0
10273,62123,56072.3203125,1.0
10276,16813,20195.982421875,7.0
10282,31384,22317.263671875,7.0
10283,11268,11091.259765625,7.0
10284,15341,15700.6357421875,5.0
10285,46697,31610.53515625,6.0
10286,14777,13470.78125,6.0
10287,37430,37301.11328125,9.0
10288,13923,14536.2626953125,5.0
10289,20687,17221.25390625,2.0
10290,14173,18622.849609375,4.0
10807,19054,19484.453125,4.0
10808,28152,19779.150390625,7.0
10806,26102,24375.283203125,6.0
10803,18093,18403.376953125,6.0
10804,24390,26889.48828125,5.0
10805,61246,35717.7109375,3.0
10809,11210,13686.79296875,1.0
10810,21020,24068.32421875,10.0
10811,12505,10631.2451171875,7.0
10812,18263,20945.8984375,4.0
10813,54482,43197.58203125,9.0
10814,25560,27669.646484375,3.0
10815,16066,17565.529296875,4.0
10816,25225,17618.078125,5.0
10817,35083,28834.66015625,5.0
10818,14566,14176.0595703125,9.0
10820,18934,23589.70703125,4.0
10819,14982,13458.8359375,1.0
10821,13855,11932.6083984375,1.0
10822,13693,16259.369140625,4.0
10823,19233,23754.37109375,5.0
10824,17658,15514.55078125,2.0
10825,22901,21504.02734375,1.0
10826,46962,29238.998046875,5.0
10827,10048,9849.2431640625,6.0
10828,8764,11516.427734375,6.0
10829,10043,11228.6103515625,9.0
10836,15223,16692.21875,1.0
10838,17651,19306.51953125,10.0
10837,8192,6883.28369140625,3.0
10835,22740,27257.05859375,7.0
10830,14377,10938.13671875,8.0
10833,9087,6693.26123046875,1.0
10832,8694,9469.19140625,5.0
10831,7591,7913.2880859375,4.0
10834,11670,9366.1767578125,9.0
10845,14753,15133.5146484375,8.0
10843,19193,20924.64453125,4.0
10842,20180,20238.759765625,9.0
10844,16219,14945.568359375,9.0
10840,27866,21763.32421875,9.0
10839,6450,5813.38623046875,5.0
10841,17257,18156.77734375,3.0
10846,9585,7215.28173828125,5.0
10847,8150,11836.2138671875,10.0
10853,16977,16910.43359375,7.0
10848,15240,12737.4736328125,7.0
10849,20026,20942.4921875,4.0
10850,14167,15892.234375,5.0
10851,11091,10509.6884765625,2.0
10852,22503,16320.9189453125,5.0
10856,13321,12323.8916015625,6.0
10855,54450,47038.5859375,3.0
10854,14109,11294.0283203125,5.0
10857,12214,9744.3603515625,5.0
10858,17292,18458.77734375,7.0
10859,22283,26882.86328125,9.0
10860,27115,27915.974609375,6.0
10861,11126,10828.8271484375,4.0
10862,8525,9619.3837890625,3.0
10863,19763,21390.203125,6.0
10864,50997,40607.5859375,4.0
10865,11229,10490.6748046875,4.0
10872,14426,13370.1171875,1.0
10871,13083,9468.361328125,1.0
10870,19680,16066.25,6.0
10866,14145,12728.841796875,8.0
10868,11997,13286.7744140625,8.0
10867,13055,12088.2001953125,2.0
10869,16433,20432.9296875,3.0
10873,11884,16373.4521484375,8.0
10874,19014,19189.609375,7.0
10880,20220,24845.580078125,8.0
10881,15061,14495.5654296875,10.0
10878,48031,47698.265625,2.0
10879,20283,25933.603515625,1.0
10876,11642,12622.38671875,10.0
10875,11012,11510.9873046875,6.0
10877,35788,32764.06640625,8.0
10882,10221,10466.7890625,2.0
10883,10081,11477.732421875,9.0
10891,20280,22360.05078125,5.0
10892,23088,21362.380859375,10.0
10890,20330,20664.310546875,8.0
10888,21798,18580.7734375,5.0
10889,14103,14267.6806640625,3.0
10886,12104,12984.48046875,10.0
10885,19273,21572.205078125,5.0
10884,12467,14629.4326171875,1.0
10887,34436,27671.95703125,6.0
10899,52008,49467.4375,5.0
10893,16508,15666.2216796875,9.0
10894,13602,12816.1728515625,8.0
10895,9398,9231.3828125,3.0
10896,36403,35719.33984375,4.0
10897,30825,28465.78125,8.0
10898,27988,27670.919921875,4.0
10906,17122,25144.232421875,2.0
10905,10178,8993.1123046875,10.0
10908,7353,12089.1806640625,10.0
10904,6399,6507.171875,4.0
10907,33657,31306.25,10.0
10902,20335,24537.84375,2.0
10903,16771,16530.587890625,9.0
10909,16195,18380.265625,1.0
10910,20773,15479.0185546875,6.0
10917,14235,14259.796875,8.0
10911,16631,15269.6376953125,1.0
10912,57050,50947.71484375,7.0
10913,10958,10949.431640625,4.0
10914,10903,13531.74609375,1.0
10915,20361,16873.181640625,6.0
10916,11616,10121.126953125,6.0
10919,9117,11855.5849609375,3.0
10918,11426,15244.326171875,8.0
10901,15840,12660.0087890625,4.0
10900,8286,12315.6552734375,9.0
10920,6979,12345.7265625,9.0
10921,17099,14608.5869140625,3.0
10922,40029,36678.93359375,8.0
10923,36785,36057.8125,1.0
10924,27549,22491.357421875,4.0
10925,18215,15710.9765625,5.0
10926,18733,20263.373046875,3.0
10927,27976,24559.255859375,1.0
10928,14039,15034.1953125,1.0
10933,18479,26906.826171875,10.0
10934,9172,10675.9501953125,9.0
10932,37529,38944.93359375,6.0
10931,49218,49504.36328125,1.0
10930,10069,15630.70703125,4.0
10929,10282,10830.384765625,7.0
10935,10726,11927.46875,6.0
10936,17993,20756.7265625,4.0
10937,12533,10068.2177734375,4.0
10938,8060,14225.390625,3.0
10939,14164,14577.1279296875,3.0
10940,28214,27806.01953125,5.0
10941,11061,9970.19921875,8.0
10942,11717,14984.3896484375,3.0
10943,20138,17162.93359375,1.0
10946,12294,12785.625,6.0
10945,12494,13269.3232421875,9.0
10944,16561,20823.841796875,6.0
10947,9512,6525.30712890625,2.0
10948,15081,12935.2734375,6.0
10949,9524,11447.525390625,6.0
10950,27701,28028.6171875,4.0
10951,30711,31640.6875,8.0
10952,7474,7491.8447265625,2.0
10953,14131,12939.8818359375,5.0
10954,8216,12874.2861328125,2.0
10955,35080,41969.75,1.0
10961,17025,13688.197265625,2.0
10960,34752,26528.607421875,7.0
10959,15450,15989.8359375,5.0
10956,12222,10395.16015625,5.0
10957,11171,14396.423828125,9.0
10958,19355,18074.033203125,1.0
10962,51168,48395.3671875,8.0
10963,9578,11050.623046875,5.0
10964,14062,13802.5732421875,3.0
10965,9027,10575.8798828125,6.0
10966,28986,26072.3046875,8.0
10967,21952,18779.962890625,7.0
10968,11057,11367.412109375,1.0
10969,17619,16346.0908203125,10.0
10970,9348,13148.71875,2.0
10973,36412,24530.748046875,2.0
10972,35388,33385.296875,1.0
10971,8657,10309.5947265625,5.0
10974,9682,12926.873046875,4.0
10975,9211,15362.15234375,6.0
10976,18743,21162.544921875,6.0
10977,16190,16780.80078125,2.0
10978,14239,11565.880859375,7.0
10979,12269,17395.255859375,3.0
10980,11762,10995.947265625,5.0
10981,46981,46890.796875,3.0
10982,24711,26055.576171875,4.0
10988,12799,15223.6142578125,4.0
10987,38781,32044.5078125,8.0
10986,10266,12979.2333984375,5.0
10983,8790,11727.2001953125,8.0
10984,21431,18023.77734375,7.0
10985,37154,36482.921875,6.0
10989,16338,15017.2080078125,6.0
10990,14715,17761.25,8.0
10991,18292,17504.05078125,2.0
10996,8688,11466.5849609375,7.0
10995,14163,12858.8515625,9.0
10997,15448,17306.6171875,1.0
10993,45253,39891.25390625,6.0
10992,19868,21671.421875,4.0
10994,18431,24942.865234375,10.0
10998,18171,19920.279296875,1.0
10999,9583,9543.2265625,4.0
11000,14242,14701.703125,4.0
11001,7010,13074.9921875,8.0
11002,26275,22419.169921875,1.0
11003,8555,10983.7236328125,6.0
